claim_text,claimant,claim_date,review_date,rating,publisher_domain,review_title,review_url,language,language_name,data_source,extraction_method
"શ્રી ગંગાનગર બળાત્કાર કેસમાં આરોપી ઓટો-રિક્ષા ચાલકને માર મારતો એક વીડિયો સોશિયલ મીડિયા પર ઝડપથી વાયરલ થઈ રહ્યો છે. આ વીડિયોમાં પોલીસ કર્મચારીઓ એક વ્યક્તિને લાઠીઓથી બેરહમીથી મારતા જોવા મળી રહ્યા છે, જ્યારે તે પીડાથી ચીસો પાડી રહ્યો છે. આ વીડિયોને શેર કરીને દાવો કરવામાં આવી રહ્યો છે કે, “પોલીસ જે વ્યક્તિને માર મારી રહી […]",,,2026-07-16T07:19:10+00:00,,gujarati.factcrescendo.com,Fact Crescendo Gujarati | The leading fact-checking website in India,https://gujarati.factcrescendo.com/,gu,Gujarati,factcrescendo_scrape,html_fallback
Fact Crescendo Gujarati | The leading fact-checking website in India,,,2026-07-14T07:26:12+00:00,,gujarati.factcrescendo.com,ઉત્તર પ્રદેશના હરદોઈનો વીડિયો શ્રી ગંગાનગરની બળાત્કાર પીડિતાના નામે વાયરલ થઈ રહ્યો… જાણો શું છે સત્ય…,https://gujarati.factcrescendo.com/a-video-of-a-rape-victim-from-hardoi-uttar-pradesh-named-shri-ganganagar-is-going-viral/,gu,Gujarati,factcrescendo_scrape,html_fallback
Fact Crescendo Gujarati | The leading fact-checking website in India,,,2026-07-16T07:19:10+00:00,,gujarati.factcrescendo.com,,https://gujarati.factcrescendo.com/aboutus/,gu,Gujarati,factcrescendo_scrape,html_fallback
Fact Crescendo Gujarati | The leading fact-checking website in India,,,2026-07-16T07:19:10+00:00,,gujarati.factcrescendo.com,જૂના કાગળપત્રોનો સંગ્રહ,https://gujarati.factcrescendo.com/archives/,gu,Gujarati,factcrescendo_scrape,html_fallback
Fact Crescendo Gujarati | The leading fact-checking website in India,,,2026-07-16T07:19:10+00:00,,gujarati.factcrescendo.com,Author:Frany Karia,https://gujarati.factcrescendo.com/author/frany-k/,gu,Gujarati,factcrescendo_scrape,html_fallback
